




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (109)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
adenine biosynthetic process (GO:0046084)	2	2	.02	+	 > 100	6.16E-05	2.55E-03
adenine metabolic process (GO:0046083)	2	2	.02	+	 > 100	6.16E-05	2.53E-03
acetate ester metabolic process (GO:1900619)	3	2	.02	+	84.53	1.84E-04	5.99E-03
acetylcholine metabolic process (GO:0008291)	3	2	.02	+	84.53	1.84E-04	5.96E-03
negative regulation of phospholipase C-activating G protein-coupled receptor signaling pathway (GO:1900737)	5	3	.04	+	76.08	4.72E-06	3.30E-04
purine nucleobase biosynthetic process (GO:0009113)	5	3	.04	+	76.08	4.72E-06	3.27E-04
positive regulation of stem cell differentiation (GO:2000738)	5	3	.04	+	76.08	4.72E-06	3.24E-04
negative regulation of phospholipase C-activating phototransduction signaling pathway (GO:0016060)	5	3	.04	+	76.08	4.72E-06	3.21E-04
eye pigment precursor transport (GO:0006856)	4	2	.03	+	63.40	3.66E-04	1.04E-02
ectodermal placode morphogenesis (GO:0071697)	4	2	.03	+	63.40	3.66E-04	1.03E-02
ectodermal placode development (GO:0071696)	4	2	.03	+	63.40	3.66E-04	1.03E-02
axon regeneration (GO:0031103)	4	2	.03	+	63.40	3.66E-04	1.02E-02
insect visual primordium formation (GO:0001744)	4	2	.03	+	63.40	3.66E-04	1.02E-02
G protein-coupled receptor internalization (GO:0002031)	4	2	.03	+	63.40	3.66E-04	1.02E-02
desensitization of G protein-coupled receptor signaling pathway (GO:0002029)	4	2	.03	+	63.40	3.66E-04	1.01E-02
'de novo' IMP biosynthetic process (GO:0006189)	4	2	.03	+	63.40	3.66E-04	1.01E-02
adaptation of signaling pathway (GO:0023058)	4	2	.03	+	63.40	3.66E-04	1.00E-02
ectodermal placode formation (GO:0060788)	4	2	.03	+	63.40	3.66E-04	1.00E-02
sprouting of injured axon (GO:0048682)	4	2	.03	+	63.40	3.66E-04	9.97E-03
negative adaptation of signaling pathway (GO:0022401)	4	2	.03	+	63.40	3.66E-04	9.93E-03
regulation of phospholipase C-activating G protein-coupled receptor signaling pathway (GO:1900736)	7	3	.06	+	54.34	1.63E-05	9.10E-04
IMP biosynthetic process (GO:0006188)	5	2	.04	+	50.72	6.07E-04	1.53E-02
axis elongation (GO:0003401)	5	2	.04	+	50.72	6.07E-04	1.52E-02
defense response to insect (GO:0002213)	8	3	.06	+	47.55	2.60E-05	1.31E-03
genital disc anterior/posterior pattern formation (GO:0035224)	8	3	.06	+	47.55	2.60E-05	1.30E-03
genital disc pattern formation (GO:0035221)	8	3	.06	+	47.55	2.60E-05	1.29E-03
negative regulation of oskar mRNA translation (GO:0007319)	8	3	.06	+	47.55	2.60E-05	1.28E-03
IMP metabolic process (GO:0046040)	6	2	.05	+	42.27	9.06E-04	2.14E-02
follicle cell of egg chamber-cell adhesion (GO:0007299)	6	2	.05	+	42.27	9.06E-04	2.14E-02
distributive segregation (GO:0032837)	6	2	.05	+	42.27	9.06E-04	2.13E-02
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	12	4	.09	+	42.27	1.73E-06	1.38E-04
purine nucleoside monophosphate biosynthetic process (GO:0009127)	12	4	.09	+	42.27	1.73E-06	1.37E-04
response to axon injury (GO:0048678)	9	3	.07	+	42.27	3.87E-05	1.76E-03
positive regulation of muscle organ development (GO:0048636)	6	2	.05	+	42.27	9.06E-04	2.12E-02
jump response (GO:0007630)	6	2	.05	+	42.27	9.06E-04	2.11E-02
positive regulation of DNA repair (GO:0045739)	6	2	.05	+	42.27	9.06E-04	2.11E-02
microtubule anchoring at microtubule organizing center (GO:0072393)	6	2	.05	+	42.27	9.06E-04	2.10E-02
neuron projection regeneration (GO:0031102)	7	2	.06	+	36.23	1.26E-03	2.71E-02
symmetric cell division (GO:0098725)	7	2	.06	+	36.23	1.26E-03	2.70E-02
delamination (GO:0060232)	11	3	.09	+	34.58	7.52E-05	2.93E-03
ribonucleoside monophosphate biosynthetic process (GO:0009156)	15	4	.12	+	33.81	4.67E-06	3.31E-04
regulation of oskar mRNA translation (GO:0046011)	16	4	.13	+	31.70	6.19E-06	4.14E-04
ommochrome biosynthetic process (GO:0006727)	8	2	.06	+	31.70	1.67E-03	3.34E-02
male gonad development (GO:0008584)	8	2	.06	+	31.70	1.67E-03	3.34E-02
ocellus pigmentation (GO:0033060)	8	2	.06	+	31.70	1.67E-03	3.33E-02
development of primary male sexual characteristics (GO:0046546)	8	2	.06	+	31.70	1.67E-03	3.32E-02
ocellus pigment biosynthetic process (GO:0008055)	8	2	.06	+	31.70	1.67E-03	3.31E-02
gonadal mesoderm development (GO:0007506)	8	2	.06	+	31.70	1.67E-03	3.30E-02
oenocyte development (GO:0007438)	8	2	.06	+	31.70	1.67E-03	3.29E-02
ocellus pigment metabolic process (GO:0046158)	8	2	.06	+	31.70	1.67E-03	3.28E-02
ommochrome metabolic process (GO:0046152)	8	2	.06	+	31.70	1.67E-03	3.27E-02
purine ribonucleoside monophosphate metabolic process (GO:0009167)	17	4	.13	+	29.83	8.05E-06	5.15E-04
purine nucleoside monophosphate metabolic process (GO:0009126)	17	4	.13	+	29.83	8.05E-06	5.10E-04
nucleoside monophosphate biosynthetic process (GO:0009124)	17	4	.13	+	29.83	8.05E-06	5.06E-04
purine nucleobase metabolic process (GO:0006144)	13	3	.10	+	29.26	1.29E-04	4.51E-03
secretory granule organization (GO:0033363)	9	2	.07	+	28.18	2.14E-03	3.90E-02
zonula adherens assembly (GO:0045186)	9	2	.07	+	28.18	2.14E-03	3.89E-02
cellular response to ethanol (GO:0071361)	9	2	.07	+	28.18	2.14E-03	3.88E-02
compound eye retinal cell programmed cell death (GO:0046667)	9	2	.07	+	28.18	2.14E-03	3.87E-02
cardiac muscle tissue development (GO:0048738)	9	2	.07	+	28.18	2.14E-03	3.86E-02
epithelial cell-cell adhesion (GO:0090136)	9	2	.07	+	28.18	2.14E-03	3.85E-02
